document_id,clean_text,sentiment
1,i really loved this phone the camera quality is amazing,positive
2,the phone is okay battery life could be better,neutral
3,i dislike the design and the device feels cheap,negative
4,excellent display and fast performance totally worth the price,positive
5,camera works fine but battery drains quickly,neutral
6,the sound quality is terrible and the phone heats up,negative
7,battery lasts all day and charging is super fast,positive
8,average performance but looks good,neutral
9,i am disappointed with the overall experience,negative
10,great design smooth user interface and solid battery backup,positive
